subject_code,subject_name
ALEB221,ALTERNATIVE ENGLISH
ALEB401,ALTERNATIVE ENGLISH
CA,CURRENT AFFAIRS
ECOH231,PRINCIPLES OF MACROECONOMICS
ECOH232,MATHEMATICAL ECONOMICS - II
ECOH263,POLITICAL ECONOMY OF INDIA
ECOH264,INDUSTRIAL PSYCHOLOGY
ECOH431,INTERNATIONAL ECONOMICS
ECOH432,INTRODUCTION TO ECONOMETRICS
ECOH433,ECONOMIC SOCIOLOGY
ECOH434,INTERNATIONAL RELATIONS
ENGB221,ENGLISH
ENGB431,ENGLISH
EVS2320,ENVIRONMENTAL STUDIES
HOL,HOLISTIC EDUCATION
LAN401,UNDERSTANDING THE NATION-STATE
LIB,LIBRARY
SD,SKILL DEVELOPMENT
ENGH231,INTRODUCTION TO LITERATURE - II
ENGH232,BRITISH LITERATURES - II
ENGH265,READING POETRY
ENGH402,CRITICAL THEORY
ENGH403,INTRODUCTION TO LINGUISTICS
ENGH404,READING CHILDREN'S LITERATURE
ENGH405,INTERNSHIP
HENG221,DEVELOPING ACADEMIC SKILLS
HENG401,CONTENT WRITING
HISH264,POST INDEPENDENT INDIA
PSYH405,CULTURAL PSYCHOLOGY
AEN221,ADDITIONAL ENGLISH
AEN431,ADDITIONAL ENGLISH
CNM231,PRINT MEDIA PRODUCTION
CNM232,STRATEGIC STORY - TELLING
CNM431,TELEVISION AND VIDEO PRODUCTION
CNM432A,PUBLIC RELATIONS
CNM432B,EVENT MANAGEMENT
CNM631,MEDIA LAW AND ETHICS
CNM632A,UNDERSTANDING NEW MEDIA
CNM632B,UNDERSTANDING CINEMA
ENG221,ENGLISH
ENG431,ENGLISH
EST231,BRITISH LITERATURE: LATE VICTORIAN TO THE PRESENT
EST431,INTRODUCTION TO LITERARY THEORY
EST631,INTRODUCTION TO WORLD LITERATURES
EST642A,CULTURAL STUDIES
EST642B,INTRODUCTION TO ENGLISH LANGUAGE TEACHING
EST642C,INTRODUCTION TO SHORT STORY
EVS,ENVIRONMENTAL STUDIES
FRN231,FRENCH
FRN431,FRENCH
HIN231,HINDI
HIN431,HINDI
KAN231,KANNADA
KAN431,KANNADA
PSY231,BASIC PSYCHOLOGICAL PROCESSES - II
PSY431,BASIC SOCIAL PSYCHOLOGY
PSY623,PSYCHOLOGICAL ASSESSMENT AND RESEARCH METHODS - II
PSY641,POSITIVE PSYCHOLOGY
PSY642,HEALTH PSYCHOLOGY
SAN231,SANSKRIT
SAN431,SANSKRIT
TAM231,TAMIL
TAM431,TAMIL
ECOH601,INTRODUCTION TO ECONOMETRICS
ECOH602,MATHEMATICAL ECONOMICS - II
ECOH603,FINANCIAL ECONOMICS
ECOH604,ENVIRONMENTAL ECONOMICS : THEORY AND APPLICATION
ECOH605,INDUSTRIAL ECONOMICS
ECOH606,LABOUR ECONOMICS
ECOH607,ECONOMICS OF LAW
ECOH608,DISSERTATION
ECO231,PRINCIPLES OF MACROECONOMICS
ECO431,INTERNATIONAL ECONOMICS
ECO631,INDIAN ECONOMY
ECO642A,ENVIRONMENTAL ECONOMICS
ECO642B,INTRODUCTION TO ECONOMETRICS
POL231,MAJOR POLITICAL IDEOLOGIES
POL431,INDIAN GOVERNMENT AND POLITICS - I
POL631,INTERNATIONAL RELATIONS - II
POL632,PUBLIC ADMINISTRATION -II
SOC231,FOUNDATIONS OF SOCIOLOGY - II
SOC431,STUDY OF INDIAN SOCIETY
SOC631,SOCIOLOGY OF WOMEN
SOC632A,STUDY OF SOCIAL MOVEMENTS
SOC632B,SOCIOLOGY OF ORGANIZATION
HEN651,WORLD LITERATURES
HEN652,CULTURAL STUDIES
HEN653,INTRODUCTION TO GENDER STUDIES
HEN654,NARRATOLOGY
HEN655,TEACHING OF ENGLISH LANGUAGE
HEN666A,CREATIVE WRITING
HEN666B,INTRODUCTION TO POPULAR CULTURE
HEN666C,FILM STUDIES
HEN666D,READING POETRY
HEN667,INTERNSHIP
AENB221,ADDITIONAL ENGLISH
AENB431,ADDITIONAL ENGLISH
ESTB231,BRITISH LITERATURE: LATE VICTORIAN TO THE PRESENT
ESTB431,INTRODUCTION TO LITERARY THEORY
HISB231,CONTEMPORARY INDIA FROM 1947 TO 2000
HISB431,RESEARCH AND WRITING
POLB231,MAJOR POLITICAL IDEOLOGIES
POLB431,INDIAN GOVERNMENT AND POLITICS - II
HIS231,CONTEMPORARY INDIA FROM 1947 TO 2000
HIS431,RESEARCH AND WRITING
HIS631,POST WAR DISCOURSES
HIS632,"HISTORIOGRAPHY - CONCEPTS, SCHOOLS AND DEBATES"
HIS641,ADDITIONAL ELECTIVE - DISSERTATION
IC,INDIAN CONSTITUTION
JOU231,"CONTEMPORARY INDIA - POLITICS, ECONOMICS AND SOCIETY"
JOU431A,WRITING FOR MEDIA
JOU431B,BROADCAST JOURNALISM
JOU631,MEDIA RESEARCH
JOU632A,ADVERTISING
JOU632B,PUBLIC RELATIONS
ECOB231,PRINCIPLES OF MACRO ECONOMICS
ECOB431,INTERNATIONAL ECONOMICS
MST231,MULTIMEDIA COMMUNICATION
MST241,PHOTOGRAPHY
MST431,CORPORATE SOCIAL RESPONSIBILITY AND PUBLIC RELATION
MUS231,INTRODUCTION TO THEORY OF MUSIC II
MUS232,SIGHT SINGING AND EAR TRAINING II
MUS241,MAJOR IN PIANO II
MUS242,MAJOR IN VOICE II
PSY232,BASIC PSYCHOLOGICAL PROCESSES - II
PEP201,VALUE ADDED COURSE IN CARNATIC MUSIC
PEP231,"DYNAMICS OF DANCE, MUSIC AND THEATRE"
PEP401,PLAYBACK THEATRE
PEP431A,HISTORY OF BHARATHANATYAM
PEP431B,EVOLUTION OF CARNATIC MUSIC
PEP431C,EVOLUTION OF INDIAN THEATRE -1950 ONWARDS
PEP631A,TRADITION AND INNOVATION
PEP631B,TALA AND DECORATIVE ANGAS
PEP631C,MODERN THEATRE CONCEPTS
PEP632A,FORMS OF DANCING - II
PEP632B,MANODHARMA SANGEETHAM
PEP632C,THEATRE IN PRACTICE
PSY432,HEALTH PSYCHOLOGY
PSH631,BASIC COGNITIVE PSYCHOLOGY
PSH632,ABNORMAL BEHAVIOUR - II
PSH633,HEALTH PSYCHOLOGY
PSH634,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY
PSH635,CULTURAL PSYCHOLOGY
PSH636,INTERNSHIP AND COMMUNITY SERVICE
PSH647A,ART THERAPY
PSH647C,POSITIVE PSYCHOLOGY
PSH647E,TRAINING AND DEVELOPMENT IN ORGANISATIONS
PSH659,PRACTICAL COURSE - II
PSH688,RESEARCH PROJECT
PSY412,SERVICE LEARNING
TES631,STAGE MANAGEMENT
TES632,APPLIED AND DIGITAL THEATRE
TES231,INTRODUCTION TO MUSIC AND DANCE
TES431,DIRECTION
JOH231,REPORTING AND EDITING
JOH232,"MEDIA, CULTURE AND SOCIETY"
JOH233,POLITICAL ECONOMY OF INDIA
JOH251,JOURNALISTIC WRITING
JOH431,NEW MEDIA JOURNALISM
JOH432,CONTENT AND TECHNICAL WRITING
JOH461,INTERNATIONAL POLITICAL ECONOMY
JOH471,CONTEMPORARY WORLD HISTORY
BAL1074,"PUBLIC INTEREST LITIGATION, LEGAL AID AND PARA LEGAL SERVICES (C3)"
BAL1075,MOOT COURT AND INTERNSHIP (C3)
BAL1076,PROFESSIONAL ETHICS AND ACCOUNTING SYSTEM (C4)
BAL1083,DISSERTATION
BAL10E1A,INTERNATIONAL CRIMINAL LAW
BAL10E1B,INTERNATIONAL INVESTMENT LAWS
BAL10E2A,SPACE LAW
BAL10E2B,CONFLICT OF LAWS
BAL10E3A,REGULATION OF BIOTECHNOLOGY
BAL10E3B,FORENSIC SCIENCE AND LAW
BAL10E4A,CORPORATE TAXATION
BAL10E4B,LAW OF WRITS
BAL10E5A,LAW AND PSYCHOLOGY
BAL10E5B,DIGITAL EVIDENCE
BAL211,POLITICAL THEORY - II
BAL232,LAW AND LITERATURE
BAL243,INSTITUTIONAL ECONOMICS
BAL264,LEGAL LANGUAGE AND LEGAL WRITING
BAL265,LAW OF CONSUMER PROTECTION AND MOTOR VEHICLES ACT
BAL2E1,FEMINIST JURISPRUDENCE
BAL2E2,LAW OF FREEDOM OF INFORMATION AND PREVENTION OF CORRUPTION
BAL2E3,HUMAN RIGHTS
BAL2E4,NATURAL RESOURCES LAW
BAL2E5,LAW OF AGRICULTURE
BAL411,INDIAN GOVERNMENT AND POLITICS - II
BAL442,LAW AND ECONOMICS
BAL463,JURISPRUDENCE
BAL464,CONTRACT - II
BAL465,PROPERTY LAW
BAL4E1,LAW AND MEDICINE
BAL4E2,URBAN DEVELOPMENT LAW
BAL4E3,"CHILDREN, YOUTH AND INTERNATIONAL HUMAN RIGHTS"
BAL4E4,"LAW, POVERTY AND DEVELOPMENT"
BAL4E5,FOOD LAW AND POLICY
BAL662,CRIMINAL LAW - I
BAL663,COMPANY LAW - II
BAL664,CONSTITUTIONAL LAW - II
BAL666,LABOUR AND INDUSTRIAL LAW
BAL685,INTELLECTUAL PROPERTY LAW
BAL6E1,LAW OF CORPORATE INSOLVENCY
BAL6E2,ECONOMIC CRIMES
BAL6E3,HEALTH LAW
BAL6E4,DOMESTIC VIOLENCE
BAL6E5,SECURITIES LAWS
BAL865,CRIMINAL LAW - II
BAL866,CIVIL PROCEDURE CODE AND LIMITATION ACT
BAL883,LAW OF E-COMMERCE
BAL884,INTERPRETATION OF STATUTES
BAL8E1A,INTERNATIONAL ENVIRONMENTAL LAW
BAL8E1B,MEDIA LAW
BAL8E2A,LAW OF COPYRIGHT
BAL8E2B,WORLD TRADE ORGANIZATION
BAL8E3A,CENTER - STATE RELATIONS AND CONSTITUTIONAL GOVERNANCE
BAL8E3B,REFUGEE LAW
BAL8E4A,LAW OF NEGOTIABLE INSTRUMENTS
BAL8E4B,INTERNATIONAL COMMERCIAL ARBITRATION
BAL8E5A,LAW AND CAPITAL PUNISHMENT
BAL8E5B,LAW OF TRADEMARKS
BA-PHL-KAN,LANGUAGE: KANNADA (BASIC)
BA-PHL-SW2,SOCIAL WORK II
ENG231,LANGUAGE: GENERAL ENGLISH II
ENP231,AMERICAN LITERATURE AND ACADEMIC WRITINGS
